Year,Vendor,Name,Category,Sub-category,Cultivar,Cost,Amount
2024,Floating Leaves,Jade Peak High Montain,Oolong,Taiwanese,Qing Xin,0.52,30
2023,Bitterleaf,Duck Tale Yashi Xiang,Oolong,Fenghuang,Yashi Xiang,0.82,25
2024,TShop,Boseong Sejak,Green,Boseong,,1.75,5
2005,Teas We Like,Chen Yuan Hao Shanzhong Chuanqi,Puer,Aged Sheng,Gushu Blend,1.74,20
2024,Floating Leaves,Dong Ding Trad. A,Oolong,Dong Ding,Qing Xin,0.41,60
2022,Old Ways Tea,Bei Dou,Oolong,Wuyi,Bei Dou,0.33,40
2024,Ryuouen,Top Shelf Hatsugana Matcha,Green,Matcha,Blend,1,20
2023,Floating Leaves,Farmers Choice Baozhong,Oolong,Baozhong,Man Zhong,0.35,60
2024,Old Ways Tea,Light Roast Da Hong Pao,Oolong,Wuyi,Bei Dou,0.3,40
2023,Old Ways Tea,First Roast Shui Xian,Oolong,Wuyi,Shui Xian,0.25,40
2023,Old Ways Tea,Second Roast Shui Xian,Oolong,Wuyi,Shui Xian,0.25,40
2024,Ippodo,Kyogoko no Mukashi,Green,Matcha,Blend,0.59,20
2024,Ippodo,Mi no mukashi,Green,Matcha,Blend,1.45,2
2022,Old Ways Tea,Zhangping Shui Xian,Oolong,Wuyi,Shui Xian,0.22,8
2022,Daxue Jiadao,Guoxiang Rougui,Oolong,Wuyi,Rou Gui,0.40,8
2024,Floating Leaves,Competition Baozhong,Oolong,Baozhong,Qing Xin,0.45,30
2024,Floating Leaves,High Mountain Diva,Oolong,Taiwanese,Qing Xin,0.45,60
2024,Ryuouen,Saiko,Green,Sencha,Blend,0.33,50
2024,Ryuouen,Asahi,Green,Sencha,Blend,0.20,5
2024,Floating Leaves,Charcoal Roast Dong Ding,Oolong,Dong Ding,Ruan Zhi,0.65,30
2022,Daxue Jiadao,Yongchun Fo Shou Trad,Oolong,Wuyi,Fo Shou,0.77,8
2023,Bitterleaf,Praise Bee Milan Xiang,Oolong,Fenghuang,Milan Xiang,0.90,25
2001,Teas We Like,Red Ribbon,Puer,Aged Sheng,Blend,0.53,15
2015,Unknown,Biyun Hao Lishan Gongcha,Puer,Aged Sheng,Yiwu,0.6,8
2022,Daxue Jiadao,Baiyun Rougui,Oolong,Wuyi,Rou Gui,0.70,8
2023,Ketlee,First Flush Darjeeling,Black,Indian,Darjeeling,0.32,8
2023,Viet Sun,Mong Rong Ya Bao,White,Vietnamese,Ya Bao,0.25,8
2024,Morning Crane,Kim Jeong Yeol Chungiljem Sejak,Green,Korean,Sejak,0.75,15
2023,Mountain Stream Teas,Sanxia Green,Green,Taiwanese,Qinxin Gan Zhong,0.50,25
2024,West China Tea,Yellow Twig,Oolong,Fenghuang,Huangzhi Xiang,0.40,5
2024,Mountain Stream Teas,Chi Lai High Mountain Black,Black,Taiwanese,Qin Xin,0.6,5
2024,Viet Sun,Lai Chau Deep Forest Green,Green,Vietnamese,NSV,0.23,25
2011,Puerh Junky,MKRS Creme Florale,Puer,Aged Sheng,,0.22,30
2022,White2Tea,Loon-call in the Dark,Puer,Shou,,0.45,25
2024,One River Tea,Mingqian Longjing,Green,Longjing,,0.52,25
2023,Thes du Japon,"Kawane, Moto-Fujikawa Shizu-7132",Green,Sencha,Shizu-7132,0.20,100
2024,Viet Sun,Ha Giang Black,Black,Vietnamese,,0.19,25
2023,Thes du Japon,Fuji-Kaori,Black,Wakocha,Fuji-Kaori,0.25,8
2024,Old Ways Tea,Tong Mu Charcoal Roast,Black,Wuyi,Xiao Zhong,0.32,50
2024,Old Ways Tea,Lan Shan Xiao Zhong,Black,Wuyi,Xiao Zhong,0.32,40
2023,Viet Sun,Pu Ta Leng White,White,Vietnamese,NSV,0.28,25
2024,Old Ways Tea,Shui Di Xiang Xiao Zhong,Black,Wuyi,Xiao Zhong,0.32,40
,Zoeys Teas,Traditional Charcoal Roast Tie Guan Yin,Oolong,Anxi,Tie Guan Yin,0.50,50
2015,Old Ways Tea,Aged Da Hong Pao,Oolong,Wuyi,Bei Dou,0.28,40
2023,Old Ways Tea,Qian Li Xiang,Oolong,Wuyi,Qian Li Xiang,0.22,8
2024,Liquid Proust,Red Jade,White,Taiwanese,Ruby 18,0.52,25
2024,Floating Leaves,Sweet Cream Alishan High Mountain,Oolong,Taiwanese,Qing Xin,0.45,30
2024,Floating Leaves,Smooth Water Baozhong,Oolong,Taiwanese,Qing Xin,0.35,60
2004,Teas We Like,Xiaguan Jiaji,Puer,Aged Sheng,,0.22,15
2021,Viet Sun,Cao Bo Shou,Puer,Vietnamese,,0.15,12
2023,Morning Crane,Jeong Jae Yoon Halmonicha,Balhyocha,Korean,,0.4,25
2009,Puerh Junky,MKRS Da Xue Shan,Puer,Aged Sheng,NSV,0.18,12
2024,Viet Sun,Cao Bo White,White,Vietnamese,,0.14,12
2022,Old Ways Tea,Handmade Rou Gui,Oolong,Wuyi,Rou Gui,0.6,8
2022,Old Ways Tea,Ma Ton Yan Rou Gui,Oolong,Wuyi,Rou Gui,1.32,8
2024,Old Ways Tea,Old Tree Rou Gui,Oolong,Wuyi,Rou Gui,0.56,40
2024,Old Ways Tea,New Tree Rou Gui,Oolong,Wuyi,Rou Gui,0.32,40
2023,Viet Sun,Thai Nguyen Fish Hook Green,Green,Vietnamese,,0.10,25
2023,Mountain Stream Teas,Sun Moon Ruby 18,Black,Taiwanese,Ruby 18,0.5,25
2023,Mountain Stream Teas,Wild Cultivar Red (Eastern Camellia Formosensis),Black,Taiwanese,Camellia Formosensis,0.5,5
2024,One River Tea,Bi Luo Chun,Green,Chinese,Bi Luo Chun,0.46,12
2023,Thes du Japon,Yoneta Goko Gyokuro,Green,Gyokuro,Goko,0.70,25
2024,Old Ways Tea,Jin Jun Mei,Black,Wuyi,Jin Jun Mei,0.82,15
2023,Ketlee,Assam Autumn Gold,Black,Indian,Assam,0.52,10
2023,Old Ways Tea,Huang Guan Yin Batch #1,Oolong,Wuyi,Huang Guan Yin,0.25,40
2013,Bitterleaf,Goddess Roast Tie Guan Yin,Oolong,Anxi,Tie Guan Yin,0.21,50
2023,Floating Leaves,Dark Roast Tie Guan Yin,Oolong,Taiwanese,Tie Guan Yin,0.30,25
2024,Viet Sun,Lao Cai Secret Forest Black,Black,Vietnamese,NSV,0.25,25
2021,Song Tea,The Chens New Garden Medium Roast,Oolong,Taiwanese,,1.1,8
,Yee On Best Taste,Puer,Shou,,0.12,25,57
2015,Liquid Proust,Cookie Counselor,Puer,Shou,,0.28,25
2023,Thes du Japon,"Sayama, Hokumei",Green,Sencha,Hokumei,0.22,25
2021,Farmer Leaf,Baka,Puer,Young Sheng,,0.50,10
2022,Bitterleaf,Future Sailor,White,,NSV,0.24,25
2024,Ippodo,Seiun/Shoin,Green,Matcha,Blend,0.68,30
2022,Old Ways Tea,Cousins Fo Shou,Oolong,Wuyi,Fo Shou,0.22,40
2023,Old Ways Tea,Huang Guan Yin Batch #2,Oolong,Wuyi,Huang Guan Yin,0.25,40
2009,Yee On,Purple Mark,Puer,Shou,Blend,0.08,25
2024,Viet Sun,Lai Chau Deep Forest White,White,Vietnamese,NSV,0.29,100
2021,Song Tea,Classic Rougui,Oolong,Wuyi,Rou Gui,1.2,8
2023,Bitterleaf,Double Scoop Dancong,Oolong,Fenghuang,Yashi Xiang,0.25,25
2023,Thes du Japon,Mimasaka Ryofu,Green,Sencha,Ryofu,0.15,25
2024,Uji-cha-en,Chiran Fukamushi,Green,Sencha,Blend,0.14,20
2023,Ketlee,Nilgiri Highland Oolong,Oolong,Indian,,0.54,25
2024,Viet Sun,Lung Vai,White,Vietnamese,NSV,0.21,20
2023,Ketlee,Nilgiri Candy Black,Black,Nilgiri,,0.30,25
2023,White2Tea,Charing Cross,White,,,0.42,25
2022,Kettl,Zairai Heirloom Hand Roast Hojicha,Green,Hojicha,Zarai,0.56,10
2024,Viet Sun,Lao Cai Black,Black,Vietnamese,NSV,0.19,25
2023,Floating Leaves,GABA Oolong,Oolong,Taiwanese,Qing Xin,0.35,30
2024,One River Tea,Golden Green,Green,CN Green,0.34,12,64
2007,Puerh Junky,CNNP Water Blue Mark,Puer,Aged Sheng,Blend,0.17,12
2022,Old Ways Tea,"Friends Fo Shou",Oolong,Wuyi,Fo Shou,0.21,40
2022,White2Tea,Yesheng Gushu Baicha,White,,NSV,0.46,20
2022,Farmer Leaf,Ba Da Ye,Puer,Young Sheng,Jinggu,0.13,10
,Ryuouen,Kin Hojicha,Green,Hojicha,,0.38,10
,Ryuouen,Jou Yanagi Hojicha,Green,Hojicha,,0.13,10
2023,Thes du Japon,Okukuji Yabukita,Green,Sencha,Yabukita,0.20,25
2023,Yunnan Sourcing,Wild Tree Purple Moonlight White from Jinggu,White,Jinggu,NSV,0.28,15
2024,One River Tea,Enshi Yulu,Green,Enshi,Yulu,0.42,12
2023,Bitterleaf,In the Rough Songzhong Dancong,Oolong,Fenghuang,Songzhong,0.63,25
2024,Ketlee,Nilgiri Needle Green,Green,Indian,,0.13,25
2023,Mountain Stream Teas,Coastal Mountain Deep Water,Oolong,Taiwanese,Jin Xuan,0.24,25
2013,White2Tea,Gongmei,White,Aged White,,0.32,25
2014,White2Tea,Shoumei,White,Aged White,,0.13,25
2021,White2Tea,Tiltshift,White,,,0.16,25
2023,White2Tea,Yanhong,Black,Yunnan,,0.12,15
2007,Puerh Junky,CNNP Fuhai 7536 Mincemeat,Puer,Aged Sheng,Blend,0.11,12
2023,Yunnan Sourcing,Black Gold Bi Luo Chun,Black,Yunnan,Bi Luo,0.12,40
2015,Old Ways Tea,Aged Shui Xian,Oolong,Wuyi,Shui Xian,0.20,40
2013,Old Ways Tea,Aged Qi Dan,Oolong,Wuyi,Qi Dan,0.29,40
2023,Yunnan Sourcing,Purple Needle Black Tea of Jing Mai Mountain,Black,,NSV,0.11,20
2023,White2Tea,941,Puer,Young Sheng,Yiwu,0.14,8
2014,Puerh Junky,CNNP Bulang Peacock,Puer,Aged Sheng,Bulang,0.18,12
2023,Viet Sun,Sunset Oolong,Oolong,Vietnamese,Assam,0.35,25
2023,Ketlee,Nilgiri Candy Oolong,Oolong,Nilgiri,,0.30,25
,Zoeys Teas,Light Roast Tie Guan Yin,Oolong,Anxi,Tie Guan Yin,0.36,8
2023,Viet Sun,Son La Wild Tree,Puerh,Young Sheng,NSV,0.28,25
2021,Essence of Tea,Boundless,Puer,Young Sheng,Gushu,0.44,10
2007,Puerh Junky,CNNP Thick Zen,Puer,Aged Sheng,,0.16,12
2023,Osulloc,Jeju Volcanic Rock Half-Balhyocha,Balhyocha,,,0.34,10
2023,Bitterleaf,Forest Echo Zhilan Xiang,Oolong,Fenghuang,Zhilan Xiang,0.22,12
2023,Bitterleaf,Easy Breezy Duck Shit,Oolong,Fenghuang,Yashi Xiang,0.27,25
2023,White2Tea,Zhenghe Red,Black,,,0.11,10
2013,Jade Leaf,Xiaguan Love Forever Paper Tong,Puer,Aged Sheng,,0.40,10
2022,Bitterleaf,Oh Deer,Puer,Young Sheng,,0.29,8
2023,White2Tea,Veldt,Puer,Young Sheng,,0.17,8
2018,Liquid Proust,Whipped Lemon Purple Sheng,Puer,Young Sheng,NSV,1.25,12
2022,Bitterleaf,Year of the Bull,Puer,Young Sheng,Yiwu,0.11,10
2023,Bitterleaf,Plum Beauty,Puer,Young Sheng,,0.23,10
2023,Bitterleaf,Pain & Pleasure,Puer,Young Sheng,,0.55,10
2024,Mountain Stream Teas,Nanhu Mountain,Oolong,Taiwanese,,0.36,10
2024,Mountain Stream Teas,Snow Pick Chi Lai,Oolong,Taiwanese,Qing Xin,0.32,10





